title,dept,salary,race,gender,experience
EQUIPMENT WORKER,Public Works & Engineering-PWE,32968.0,Black,Male,9
LABORER,Houston Airport System (HAS),26125.0,Hispanic,Female,16
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Female,22
POLICE OFFICER,Houston Police Department-HPD,60347.0,Black,Male,13
CUSTOMER SERVICE REPRESENTATIVE III,Public Works & Engineering-PWE,35485.0,Black,Female,11
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,13
CUSTOMER SERVICE REPRESENTATIVE I,Public Works & Engineering-PWE,30347.0,Black,Female,0
COMMUNITY RELATIONS SPECIALIST,Health & Human Services,31470.0,Black,Female,18
POLICE OFFICER,Houston Police Department-HPD,60347.0,White,Female,11
GRADUATE ENGINEER,Public Works & Engineering-PWE,63461.0,White,Male,9
POLICE LIEUTENANT,Houston Police Department-HPD,91181.0,Asian,Female,27
ADMINISTRATIVE COORDINATOR,Public Works & Engineering-PWE,70780.0,Black,Female,27
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Asian,Male,23
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,Hispanic,Male,15
JAIL ATTENDANT,Houston Police Department-HPD,35318.0,Black,Female,8
"FIRE FIGHTER,PROBATIONARY",Houston Fire Department (HFD),40170.0,White,Male,1
POLICE OFFICER,Houston Police Department-HPD,50621.0,Hispanic,Male,3
CUSTOMER SERVICE CLERK,Health & Human Services,29245.0,Hispanic,Female,0
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Male,17
PUBLIC WORKS MAINTENANCE MANAGER,Public Works & Engineering-PWE,83744.0,Black,Male,27
ADMINISTRATIVE COORDINATOR,Parks & Recreation,56826.0,Black,Female,8
FIRE FIGHTER,Houston Fire Department (HFD),61226.0,White,Male,27
LABORER,Public Works & Engineering-PWE,26104.0,Hispanic,Male,0
TECHNICAL HARDWARE ANALYST III,Public Works & Engineering-PWE,59613.0,White,Male,7
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,31
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,27
FIRE FIGHTER,Houston Fire Department (HFD),43528.0,White,Male,2
ENGINEER/OPERATOR,Houston Fire Department (HFD),61921.0,White,Male,10
DIVISION MANAGER,Public Works & Engineering-PWE,93089.0,White,Male,33
CHEMIST IV,Public Works & Engineering-PWE,64432.0,Asian,Male,10
CUSTOMER SERVICE SECTION CHIEF,Public Works & Engineering-PWE,53726.0,White,Female,8
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,31
PLAN ANALYST,Public Works & Engineering-PWE,34029.0,White,Female,8
BREASTFEEDING PEER COUNSELOR,Health & Human Services,28600.0,Hispanic,Female,1
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,21
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,Hispanic,Male,16
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,34
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Black,Female,25
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,17
FIRE FIGHTER,Houston Fire Department (HFD),48190.0,Hispanic,Male,4
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Male,24
UTILITY WORKER,Public Works & Engineering-PWE,30992.0,Black,Male,9
MAINTENANCE MECHANIC III,Parks & Recreation,35027.0,Black,Male,3
POLICE OFFICER,Houston Police Department-HPD,60347.0,Hispanic,Female,13
DEPUTY ASSISTANT DIRECTOR (EX LVL),Houston Airport System (HAS),110686.0,Black,Female,5
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,35
FIELD SUPERVISOR,Public Works & Engineering-PWE,45157.0,Black,Female,20
POLICE OFFICER,Houston Police Department-HPD,52514.0,Black,Female,10
POLICE OFFICER,Houston Police Department-HPD,43443.0,White,Male,2
FIRE FIGHTER TRAINEE,Houston Fire Department (HFD),28024.0,Black,Male,1
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Female,17
SENIOR UTILITY MECHANIC,Public Works & Engineering-PWE,36130.0,Black,Male,8
POLICE OFFICER,Houston Police Department-HPD,47650.0,White,Male,5
CAPTAIN,Houston Fire Department (HFD),66523.0,Hispanic,Male,16
AIRPORT OPERATIONS SPECIALIST,Houston Airport System (HAS),43826.0,Black,Male,11
POLICE OFFICER,Houston Police Department-HPD,43443.0,Hispanic,Female,2
FIRE FIGHTER,Houston Fire Department (HFD),61226.0,White,Male,30
SENIOR PLAN ANALYST,Public Works & Engineering-PWE,54600.0,White,Male,7
FIRE FIGHTER,Houston Fire Department (HFD),61226.0,White,Male,37
WATER SERVICE INSPECTOR I,Public Works & Engineering-PWE,34861.0,Black,Male,14
MICROBIOLOGIST III,Public Works & Engineering-PWE,56992.0,Black,Female,9
FIRE FIGHTER,Houston Fire Department (HFD),45791.0,White,Male,3
POLICE OFFICER,Houston Police Department-HPD,50621.0,White,Male,6
POLICE OFFICER,Houston Police Department-HPD,47650.0,Black,Male,5
SEMI-SKILLED LABORER,Parks & Recreation,26125.0,Hispanic,Male,2
SANITARIAN I,Health & Human Services,38709.0,Hispanic,Female,1
UTILITY WORKER,Public Works & Engineering-PWE,34320.0,Black,Male,9
JAIL ATTENDANT,Houston Police Department-HPD,35838.0,Black,Male,8
MANAGEMENT ANALYST IV,Health & Human Services,60496.0,Black,Male,10
POLICE OFFICER,Houston Police Department-HPD,55461.0,Hispanic,Male,9
SUPERVISING ENGINEER,Public Works & Engineering-PWE,90716.0,White,Male,7
PROJECT MANAGER,Public Works & Engineering-PWE,55695.0,Asian,Male,4
FIRE FIGHTER,Houston Fire Department (HFD),55437.0,Hispanic,Male,13
POLICE OFFICER,Houston Police Department-HPD,60347.0,Black,Female,11
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,Black,Male,15
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,30
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,White,Female,14
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Female,21
ADMINISTRATIVE ASSOCIATE,Public Works & Engineering-PWE,40851.0,Black,Female,25
FIRE FIGHTER,Houston Fire Department (HFD),61226.0,White,Male,18
CUSTOMER SERVICE REPRESENTATIVE I,Public Works & Engineering-PWE,30347.0,Black,Female,18
ENGINEER/OPERATOR,Houston Fire Department (HFD),61921.0,Hispanic,Male,9
SENIOR PLANT OPERATOR,Public Works & Engineering-PWE,45926.0,Black,Male,14
SENIOR INSPECTOR,Public Works & Engineering-PWE,56576.0,White,Male,4
TECHNICAL HARDWARE ANALYST III,Public Works & Engineering-PWE,58157.0,White,Male,24
POLICE OFFICER,Houston Police Department-HPD,55461.0,Black,Female,9
POLICE OFFICER,Houston Police Department-HPD,55461.0,White,Male,9
INSPECTOR,Public Works & Engineering-PWE,51563.0,Black,Female,1
ENGINEER/OPERATOR,Houston Fire Department (HFD),61921.0,White,Male,6
CUSTOMER SERVICE SECTION CHIEF,Public Works & Engineering-PWE,52957.0,Black,Female,14
EQUIPMENT OPERATOR II,Houston Airport System (HAS),37003.0,Asian,Male,13
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,Hispanic,Male,14
ENVIRONMENTAL INVESTIGATOR II,Public Works & Engineering-PWE,40622.0,White,Male,1
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Female,34
FIELD SUPERVISOR,Parks & Recreation,36920.0,Hispanic,Male,12
FIRE FIGHTER,Houston Fire Department (HFD),61226.0,Black,Male,20
SENIOR STAFF ANALYST,Public Works & Engineering-PWE,105503.0,White,Female,25
STAFF PSYCHOLOGIST,Houston Police Department-HPD,99953.0,White,Female,4
PROJECT MANAGER,Public Works & Engineering-PWE,63338.0,Hispanic,Male,11
SUPERVISING ENGINEER,Public Works & Engineering-PWE,90715.0,White,Female,4
POLICE OFFICER,Houston Police Department-HPD,60347.0,White,Male,11
CUSTOMER SERVICE REPRESENTATIVE II,Public Works & Engineering-PWE,33488.0,Black,Female,8
JAIL ATTENDANT,Houston Police Department-HPD,35318.0,White,Female,2
SPECIAL SERVICE REPRESENTATIVE,Houston Airport System (HAS),35318.0,Hispanic,Male,9
POLICE SERGEANT,Houston Police Department-HPD,74511.0,White,Male,8
DEPUTY DIRECTOR (EXECUTIVE LEVEL),Houston Airport System (HAS),150416.0,Black,Female,3
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,32
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,Asian,Male,15
FIRE FIGHTER,Houston Fire Department (HFD),43528.0,Asian,Male,2
POLICE OFFICER,Houston Police Department-HPD,47650.0,Hispanic,Female,4
ADMINISTRATIVE ASSISTANT,Health & Human Services,45614.0,Black,Female,25
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,White,Male,7
ENGINEER/OPERATOR,Houston Fire Department (HFD),63166.0,White,Male,26
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,Hispanic,Male,14
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,22
POLICE OFFICER,Houston Police Department-HPD,55461.0,Black,Male,9
DATA ENTRY OPERATOR,Houston Police Department-HPD,29827.0,Black,Female,20
LABORER,Houston Airport System (HAS),26125.0,Black,Female,8
SENIOR INVENTORY MANAGEMENT CLERK,Public Works & Engineering-PWE,29765.0,White,Male,13
SEMI-SKILLED LABORER,Parks & Recreation,29910.0,Hispanic,Male,20
SEMI-SKILLED LABORER,Parks & Recreation,26125.0,Black,Male,2
"POLICE OFFICER,PROBATIONARY",Houston Police Department-HPD,42000.0,Black,Male,1
HUMAN RESOURCES ASSISTANT,Public Works & Engineering-PWE,32406.0,Black,Female,2
CUSTOMER SERVICE CLERK,Health & Human Services,31387.0,Black,Female,24
CAPTAIN,Houston Fire Department (HFD),70181.0,White,Male,30
SEMI-SKILLED LABORER,Public Works & Engineering-PWE,27373.0,Black,Female,3
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Hispanic,Male,19
FIRE FIGHTER,Houston Fire Department (HFD),61226.0,Hispanic,Male,32
POLICE OFFICER,Houston Police Department-HPD,50621.0,Hispanic,Male,6
PLANT OPERATOR TRAINEE,Public Works & Engineering-PWE,31158.0,Hispanic,Male,1
SENIOR PROJECT MANAGER,Public Works & Engineering-PWE,84500.0,Hispanic,Male,0
MOBILITY SERVICE OFFICER,Houston Police Department-HPD,41621.0,Black,Male,8
"FIRE FIGHTER,PROBATIONARY",Houston Fire Department (HFD),40170.0,White,Male,1
CUSTOMER SERVICE CLERK,Health & Human Services,31803.0,Hispanic,Male,14
FIRE FIGHTER,Houston Fire Department (HFD),57815.0,Hispanic,Male,15
SENIOR PUBLIC HEALTH INVESTIGATOR,Health & Human Services,46010.0,Asian,Male,14
SURVEILLANCE INVESTIGATOR-EPIDEMIOLOGY,Health & Human Services,47362.0,White,Male,1
DIVISION MANAGER,Public Works & Engineering-PWE,95950.0,Asian,Female,13
SENIOR CAPTAIN,Houston Fire Department (HFD),78355.0,Hispanic,Male,18
POLICE OFFICER,Houston Police Department-HPD,45279.0,White,Male,3
SENIOR DISPATCHER,Public Works & Engineering-PWE,29931.0,Black,Female,5
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,31
ADMINISTRATIVE ASSOCIATE,Public Works & Engineering-PWE,34757.0,Black,Female,13
ADMINISTRATIVE ASSISTANT,Parks & Recreation,42640.0,Hispanic,Female,10
SUPERINTENDENT,Parks & Recreation,57533.0,Black,Female,22
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,23
CUSTOMER SERVICE REPRESENTATIVE I,Public Works & Engineering-PWE,30347.0,Black,Female,1
SENIOR POLICE SERVICE OFFICER,Houston Police Department-HPD,32261.0,Black,Female,24
POLICE OFFICER,Houston Police Department-HPD,47650.0,Hispanic,Female,4
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,19
CAPTAIN,Houston Fire Department (HFD),70181.0,White,Male,26
HUMAN SERVICE PROGRAM MANAGER,Health & Human Services,63785.0,Black,Female,7
GARDENER,Parks & Recreation,28205.0,Black,Male,1
FIRE FIGHTER,Houston Fire Department (HFD),45791.0,White,Male,3
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,21
"FIRE FIGHTER,PROBATIONARY",Houston Fire Department (HFD),40170.0,Hispanic,Male,1
POLICE OFFICER,Houston Police Department-HPD,60347.0,Hispanic,Male,13
SUPERVISING ENGINEER,Public Works & Engineering-PWE,98752.0,White,Female,10
EQUIPMENT WORKER,Public Works & Engineering-PWE,32968.0,Black,Female,1
FIRE FIGHTER,Houston Fire Department (HFD),45791.0,Hispanic,Male,2
POLICE OFFICER,Houston Police Department-HPD,47650.0,White,Male,4
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,13
EQUIPMENT WORKER,Public Works & Engineering-PWE,34653.0,Black,Male,1
FIRE FIGHTER,Houston Fire Department (HFD),45791.0,White,Male,3
EQUIPMENT WORKER,Public Works & Engineering-PWE,32968.0,Black,Male,0
POLICE OFFICER,Houston Police Department-HPD,47650.0,Hispanic,Male,3
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,23
POLICE OFFICER,Houston Police Department-HPD,60347.0,White,Male,11
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Female,21
CUSTOMER SERVICE REPRESENTATIVE III,Public Works & Engineering-PWE,36920.0,Hispanic,Male,4
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,24
POLICE OFFICER,Houston Police Department-HPD,50621.0,Hispanic,Male,6
SENIOR GIS TECHNICIAN,Public Works & Engineering-PWE,44866.0,Hispanic,Female,7
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,21
TECHNICAL HARDWARE ANALYST II,Public Works & Engineering-PWE,53581.0,Hispanic,Male,23
POLICE OFFICER,Houston Police Department-HPD,43443.0,White,Male,1
ACCOUNTANT ASSOCIATE,Houston Airport System (HAS),39229.0,Black,Female,19
SENIOR OFFICE ASSISTANT,Houston Police Department-HPD,29890.0,Black,Female,4
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Black,Male,25
ENGINEER/OPERATOR,Houston Fire Department (HFD),61921.0,White,Male,10
CAPTAIN,Houston Fire Department (HFD),66523.0,White,Male,15
REGULATORY INVESTIGATOR,Houston Airport System (HAS),33238.0,Hispanic,Male,19
SEMI-SKILLED LABORER,Public Works & Engineering-PWE,34611.0,Asian,Male,23
CUSTOMER SERVICE REPRESENTATIVE III,Houston Fire Department (HFD),41267.0,Hispanic,Female,15
POLICE OFFICER,Houston Police Department-HPD,55461.0,White,Male,9
CAPTAIN,Houston Fire Department (HFD),70181.0,White,Male,34
DWI TECHNICIAN,Houston Police Department-HPD,43035.0,Black,Male,1
SENIOR OFFICE ASSISTANT,Houston Police Department-HPD,35152.0,Asian,Female,27
INSPECTOR,Houston Fire Department (HFD),70181.0,Hispanic,Male,22
CAPTAIN,Houston Fire Department (HFD),70181.0,White,Male,19
CAPTAIN,Houston Fire Department (HFD),66523.0,Black,Male,13
EXECUTIVE ASSISTANT FIRE CHIEF,Houston Fire Department (HFD),130585.0,Black,Male,26
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Female,27
INSPECTOR,Houston Fire Department (HFD),66523.0,Hispanic,Female,15
"POLICE OFFICER,PROBATIONARY",Houston Police Department-HPD,28169.0,White,Male,1
FIELD SUPERVISOR,Public Works & Engineering-PWE,42182.0,Black,Male,10
UTILITY WORKER,Public Works & Engineering-PWE,29557.0,Black,Male,1
FIRE FIGHTER,Houston Fire Department (HFD),52644.0,White,Male,9
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,18
SENIOR BUYER,Public Works & Engineering-PWE,48360.0,Black,Female,31
DEPUTY DIRECTOR (EXECUTIVE LEVEL),Houston Police Department-HPD,163228.0,Asian,Male,39
MAINTENANCE MECHANIC III,Houston Airport System (HAS),39125.0,Hispanic,Male,0
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,Black,Male,8
OFFICE SERVICE MANAGER,Houston Police Department-HPD,58409.0,Black,Female,8
CAPTAIN,Houston Fire Department (HFD),66523.0,White,Male,13
ENGINEER/OPERATOR,Houston Fire Department (HFD),61921.0,White,Male,10
ACCOUNTANT ASSOCIATE,Public Works & Engineering-PWE,37440.0,Black,Female,2
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,24
POLICE OFFICER,Houston Police Department-HPD,52514.0,Hispanic,Male,7
IT PROJECT MANAGER,Houston Airport System (HAS),96284.0,White,Male,4
SENIOR STAFF ANALYST,Public Works & Engineering-PWE,90293.0,Hispanic,Male,16
FIRE FIGHTER,Houston Fire Department (HFD),48190.0,Hispanic,Male,5
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,12
PUBLIC HEALTH INVESTIGATOR SUPERVISOR,Health & Human Services,57433.0,Black,Female,22
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,White,Male,8
POLICE OFFICER,Houston Police Department-HPD,55461.0,White,Male,8
UTILITY WORKER,Public Works & Engineering-PWE,31408.0,Asian,Male,22
RECREATION FACILITY MANAGER,Parks & Recreation,46580.0,Hispanic,Male,23
WATER SERVICE INSPECTOR II,Public Works & Engineering-PWE,40581.0,Black,Female,26
ADMINISTRATIVE ASSISTANT,Houston Police Department-HPD,45552.0,White,Female,9
POLICE OFFICER,Houston Police Department-HPD,47650.0,Black,Male,1
POLICE OFFICER,Houston Police Department-HPD,50621.0,White,Female,5
FIRE FIGHTER,Houston Fire Department (HFD),43528.0,Black,Male,2
FIRE FIGHTER,Houston Fire Department (HFD),55437.0,White,Male,13
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Male,31
POLICE OFFICER,Houston Police Department-HPD,60347.0,White,Male,19
CUSTOMER SERVICE REPRESENTATIVE III,Health & Human Services,37835.0,Hispanic,Female,1
UTILITY WORKER,Public Works & Engineering-PWE,30139.0,Black,Male,2
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Black,Male,23
GENERAL SUPERINTENDENT,Public Works & Engineering-PWE,50960.0,Asian,Male,35
SENIOR CUSTOMER SERVICE CLERK,Health & Human Services,34008.0,Hispanic,Female,2
FIRE FIGHTER,Houston Fire Department (HFD),55437.0,Hispanic,Male,13
POLICE SERVICE OFFICER,Houston Police Department-HPD,27914.0,Hispanic,Female,3
SENIOR CUSTOMER SERVICE CLERK,Health & Human Services,32198.0,Hispanic,Female,24
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Hispanic,Male,22
"FIRE FIGHTER,PROBATIONARY",Houston Fire Department (HFD),40170.0,Black,Male,0
DEPUTY DIRECTOR-FINANCE & ADMINISTRATION,Houston Police Department-HPD,199596.0,White,Male,9
TECHNICAL HARDWARE ANALYST III,Public Works & Engineering-PWE,57304.0,White,Male,13
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,35
SEMI-SKILLED LABORER,Parks & Recreation,26125.0,Hispanic,Male,1
ACCOUNT CLERK,Houston Police Department-HPD,35880.0,Asian,Female,35
UTILITY WORKER,Public Works & Engineering-PWE,31762.0,Black,Male,16
"POLICE OFFICER,PROBATIONARY",Houston Police Department-HPD,42000.0,Hispanic,Male,1
SEMI-SKILLED LABORER,Public Works & Engineering-PWE,27373.0,Black,Male,2
EQUIPMENT WORKER,Parks & Recreation,31075.0,Black,Female,17
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Hispanic,Male,22
FIRE FIGHTER,Houston Fire Department (HFD),43528.0,Black,Male,2
CUSTOMER SERVICE REPRESENTATIVE II,Health & Human Services,34320.0,Black,Female,1
FIELD SUPERVISOR,Parks & Recreation,36920.0,Black,Male,23
SENIOR CAPTAIN,Houston Fire Department (HFD),78355.0,White,Male,34
CAPTAIN,Houston Fire Department (HFD),66523.0,White,Male,16
FIELD SUPERVISOR,Public Works & Engineering-PWE,41288.0,Black,Male,14
INSPECTOR,Houston Fire Department (HFD),70181.0,Black,Male,20
POLICE SERGEANT,Houston Police Department-HPD,74511.0,Hispanic,Male,8
FIRE FIGHTER,Houston Fire Department (HFD),45791.0,White,Male,2
UTILITY WORKER,Public Works & Engineering-PWE,28995.0,Black,Male,2
SENIOR INSPECTOR,Public Works & Engineering-PWE,63336.0,White,Male,28
DIVISION MANAGER,Houston Airport System (HAS),100873.0,White,Female,11
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,22
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Asian,Male,23
POLICE LIEUTENANT,Houston Police Department-HPD,91181.0,Hispanic,Male,24
POLICE OFFICER,Houston Police Department-HPD,60347.0,Hispanic,Female,10
EQUIPMENT WORKER,Public Works & Engineering-PWE,31429.0,White,Male,1
DISTRICT CHIEF,Houston Fire Department (HFD),89590.0,White,Male,23
SENIOR CAPTAIN,Houston Fire Department (HFD),78355.0,White,Male,26
POLICE OFFICER,Houston Police Department-HPD,55461.0,Hispanic,Female,8
FIRE FIGHTER,Houston Fire Department (HFD),61226.0,Black,Male,20
DEPUTY CHIEF,Houston Fire Department (HFD),99480.0,White,Male,36
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,23
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Asian,Female,20
EQUIPMENT WORKER,Public Works & Engineering-PWE,36837.0,Black,Male,22
FIRE FIGHTER,Houston Fire Department (HFD),61226.0,Black,Male,34
ADMINISTRATION MANAGER,Health & Human Services,83174.0,Black,Female,29
FIRE FIGHTER,Houston Fire Department (HFD),61226.0,Hispanic,Male,22
FIRE FIGHTER,Houston Fire Department (HFD),48190.0,Black,Male,3
FIRE FIGHTER,Houston Fire Department (HFD),43528.0,Black,Male,2
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Asian,Male,23
POLICE OFFICER,Houston Police Department-HPD,55461.0,White,Male,7
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,White,Male,9
"FIRE FIGHTER,PROBATIONARY",Houston Fire Department (HFD),40170.0,White,Male,1
ADMINISTRATIVE COORDINATOR,Health & Human Services,65589.0,Hispanic,Female,7
POLICE OFFICER,Houston Police Department-HPD,43443.0,White,Male,1
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,35
EVIDENCE TECHNICIAN,Houston Police Department-HPD,33322.0,Hispanic,Female,1
DWI TECHNICIAN,Houston Police Department-HPD,47008.0,Hispanic,Female,21
INSPECTOR,Houston Fire Department (HFD),70181.0,Black,Male,22
SENIOR POLICE SERVICE OFFICER,Houston Police Department-HPD,32490.0,Black,Female,27
RECREATION SUPERVISOR,Parks & Recreation,37565.0,White,Male,4
POLICE LIEUTENANT,Houston Police Department-HPD,86534.0,White,Male,16
ADMINISTRATION MANAGER,Health & Human Services,82915.0,Black,Female,14
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,26
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,Hispanic,Male,7
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,Black,Male,14
UTILITY WORKER,Public Works & Engineering-PWE,40518.0,Hispanic,Male,21
"FIRE FIGHTER,PROBATIONARY",Houston Fire Department (HFD),40170.0,Hispanic,Male,1
ENVIRONMENTAL INVESTIGATOR V,Public Works & Engineering-PWE,79953.0,Asian,Male,28
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,33
INSPECTOR,Public Works & Engineering-PWE,46238.0,Hispanic,Male,8
CAPTAIN,Houston Fire Department (HFD),70181.0,White,Male,26
SURVEILLANCE INVESTIGATOR-EPIDEMIOLOGY,Health & Human Services,46384.0,Black,Female,25
UTILITY MECHANIC,Public Works & Engineering-PWE,30597.0,Black,Male,4
DEPUTY DIRECTOR-AVIATION (EX LVL),Houston Airport System (HAS),186192.0,Black,Male,3
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,22
"POLICE OFFICER,PROBATIONARY",Houston Police Department-HPD,28169.0,Asian,Male,1
FIRE FIGHTER,Houston Fire Department (HFD),43528.0,Hispanic,Male,2
DWI TECHNICIAN,Houston Police Department-HPD,43035.0,Hispanic,Female,3
SENIOR PLANT OPERATOR,Public Works & Engineering-PWE,46550.0,White,Male,23
FIRE FIGHTER,Houston Fire Department (HFD),55437.0,Hispanic,Male,14
INVESTIGATOR,Houston Fire Department (HFD),70181.0,White,Male,37
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,25
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Native American,Male,25
FIRE FIGHTER,Houston Fire Department (HFD),45791.0,White,Male,3
STAFF ANALYST,Public Works & Engineering-PWE,70565.0,White,Female,7
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Hispanic,Male,26
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,32
POLICE OFFICER,Houston Police Department-HPD,55461.0,White,Male,9
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,16
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,32
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,18
OFFICE SUPERVISOR,Houston Police Department-HPD,50378.0,Asian,Male,16
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Hispanic,Male,21
FIRE FIGHTER,Houston Fire Department (HFD),55437.0,White,Male,13
ENGINEER/OPERATOR,Houston Fire Department (HFD),61921.0,White,Male,10
UTILITY WORKER,Public Works & Engineering-PWE,30139.0,Hispanic,Male,2
ASSISTANT PUBLIC WORKS MAINTENANCE MANAG,Public Works & Engineering-PWE,66310.0,Black,Male,0
PROGRAMMER ANALYST IV,Houston Police Department-HPD,69661.0,White,Male,19
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,26
CAPTAIN,Houston Fire Department (HFD),70181.0,White,Male,36
SENIOR CUSTOMER SERVICE CLERK,Health & Human Services,31782.0,Black,Female,9
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Female,17
PUBLIC WORKS OPERATIONS MANAGER,Public Works & Engineering-PWE,86288.0,White,Male,25
ENGINEER,Public Works & Engineering-PWE,87236.0,Asian,Male,23
ENGINEER/OPERATOR,Houston Fire Department (HFD),63166.0,White,Male,30
GROUND TRANSPORTATION REPRESENTATIVE,Houston Airport System (HAS),29640.0,Hispanic,Female,25
POLICE OFFICER,Houston Police Department-HPD,47650.0,Black,Male,4
DEPUTY ASSISTANT DIRECTOR (EXECUTIVE LEV,Public Works & Engineering-PWE,105354.0,White,Male,6
AIRPORT OPERATIONS SPECIALIST,Houston Airport System (HAS),47237.0,Black,Male,32
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,23
SENIOR IMAGING TECHNICIAN,Houston Police Department-HPD,34528.0,Black,Female,37
RECREATION FACILITY MANAGER,Parks & Recreation,50028.0,Black,Male,18
AIRPORT OPERATIONS SPECIALIST,Houston Airport System (HAS),48568.0,Black,Male,12
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Male,22
DATA ENTRY OPERATOR,Houston Police Department-HPD,26125.0,Black,Female,23
UTILITY WORKER,Public Works & Engineering-PWE,34320.0,Black,Male,4
POLICE OFFICER,Houston Police Department-HPD,55461.0,Hispanic,Male,8
SUPERINTENDENT,Houston Airport System (HAS),62650.0,Black,Male,3
EQUIPMENT WORKER,Public Works & Engineering-PWE,32968.0,Black,Male,2
SYSTEMS SUPPORT ANALYST I,Public Works & Engineering-PWE,44096.0,Asian,Male,12
