Neighborhood,Exterior1st,YearBuilt,LotFrontage,GrLivArea,GarageArea,BedroomAbvGr,FullBath,SalePrice
Somerst,VinylSd,2009,75.0,1935,552,3,2,263435
SWISU,Wd Sdng,1936,60.0,1135,576,3,1,155000
Sawyer,MetalSd,1965,60.0,864,360,3,1,62383
Crawfor,Stucco,1934,74.0,1660,240,3,1,188700
CollgCr,HdBoard,1978,60.0,1040,0,3,2,124000
Blmngtn,VinylSd,2004,,1414,398,2,2,178740
NAmes,Plywood,1970,85.0,1277,526,2,1,167000
NAmes,MetalSd,1942,79.0,1644,312,3,1,146500
NridgHt,VinylSd,2006,98.0,1634,866,3,2,250000
SawyerW,HdBoard,1993,76.0,1710,506,3,2,187000
StoneBr,HdBoard,1985,,1502,528,1,1,212000
NWAmes,WdShing,1977,92.0,1969,534,3,2,190000
Edwards,VinylSd,2005,35.0,1072,525,2,1,148000
NridgHt,VinylSd,2006,110.0,1976,908,2,2,440000
StoneBr,CemntBd,2000,41.0,1652,499,2,2,251000
Sawyer,HdBoard,1963,80.0,970,624,2,1,132500
CollgCr,VinylSd,1997,75.0,1493,508,3,2,208900
NridgHt,VinylSd,2006,105.0,2643,694,3,2,380000
CollgCr,VinylSd,2007,79.0,1718,826,3,2,297000
OldTown,Stucco,1937,50.0,1131,672,2,1,89471
NridgHt,VinylSd,2004,98.0,1850,772,3,2,326000
NridgHt,VinylSd,2003,72.0,1792,874,2,2,374000
OldTown,Stucco,1915,50.0,1826,164,4,1,155000
Mitchel,VinylSd,1998,32.0,1216,402,2,2,164000
Sawyer,HdBoard,1962,,999,264,3,1,132500
NAmes,MetalSd,1950,80.0,1113,264,3,1,147000
NAmes,MetalSd,1965,79.0,1073,515,3,1,156000
NWAmes,Plywood,1971,70.0,1484,487,3,2,175000
OldTown,Wd Sdng,1900,60.0,2414,520,3,2,160000
MeadowV,CemntBd,1970,21.0,630,286,1,1,86000
MeadowV,CemntBd,1976,,1304,336,3,1,115000
NAmes,Wd Sdng,1941,79.0,1578,240,3,1,133000
Gilbert,VinylSd,2006,105.0,1456,429,3,2,172785
NAmes,BrkFace,1960,70.0,1269,308,3,1,155000
OldTown,MetalSd,1938,50.0,886,273,2,1,91300
IDOTRR,Wd Sdng,1920,60.0,720,0,2,1,34900
NoRidge,BrkFace,1992,,3228,546,4,3,430000
BrkSide,Wd Sdng,1925,60.0,1820,240,4,2,184000
Sawyer,HdBoard,1967,65.0,899,288,3,1,130000
NAmes,MetalSd,1958,70.0,912,297,2,1,120000
BrDale,HdBoard,1973,21.0,1218,264,3,1,113000
Somerst,VinylSd,2005,75.0,1768,603,3,2,226700
Edwards,MetalSd,1965,70.0,1214,461,2,1,140000
Crawfor,BrkFace,1959,100.0,1801,484,1,2,289000
NPkVill,Plywood,1974,24.0,1322,440,3,2,147000
OldTown,Wd Sdng,1952,60.0,1960,400,4,2,124500
SawyerW,VinylSd,1993,80.0,1911,471,3,2,215000
Somerst,VinylSd,2009,75.0,1218,676,2,2,208300
OldTown,MetalSd,1928,60.0,1378,360,3,2,161000
NAmes,MetalSd,1959,80.0,1041,270,3,1,124500
NAmes,Wd Sdng,1951,75.0,1363,288,2,1,164900
NridgHt,VinylSd,2005,40.0,1368,474,2,2,202665
NAmes,VinylSd,1958,70.0,864,624,3,1,129900
Mitchel,VinylSd,1983,71.0,1080,484,3,1,134000
Crawfor,Wd Sdng,1926,55.0,789,200,2,1,96500
NridgHt,CemntBd,2009,94.0,2020,900,3,2,402861
NWAmes,HdBoard,1972,,2119,583,3,2,158000
NoRidge,VinylSd,1996,79.0,2344,889,3,2,265000
CollgCr,VinylSd,1998,,1796,546,3,2,211000
Crawfor,MetalSd,1926,53.0,2080,282,3,1,234000
OldTown,MetalSd,1900,60.0,1294,0,3,2,106250
NAmes,VinylSd,1957,90.0,1244,336,3,1,150000
BrkSide,CemntBd,1947,50.0,1664,420,3,2,159000
Edwards,CemntBd,2007,130.0,4676,884,3,3,184750
NoRidge,VinylSd,1996,95.0,2398,834,3,2,315750
Somerst,VinylSd,2005,62.0,1266,453,3,2,176000
NAmes,Wd Sdng,1956,70.0,928,252,2,1,132000
NridgHt,VinylSd,2008,67.0,2713,858,3,2,446261
Edwards,Wd Sdng,1920,58.0,605,0,2,1,86000
Crawfor,Wd Sdng,1957,,2515,484,4,3,200624
Timber,HdBoard,1988,85.0,1509,600,3,2,175000
BrkSide,Wd Sdng,1920,60.0,1362,502,3,2,128000
NAmes,VinylSd,1955,60.0,827,392,2,1,107500
BrkSide,VinylSd,1946,50.0,334,0,1,1,39300
Gilbert,VinylSd,2004,74.0,1414,403,3,2,178000
Edwards,MetalSd,1910,70.0,1347,0,3,1,107500
CollgCr,VinylSd,1998,57.0,1724,527,3,2,188000
NAmes,MetalSd,1972,,864,576,3,1,111250
Sawyer,Plywood,1968,,1159,336,3,1,158000
CollgCr,VinylSd,2001,,1601,670,3,2,272000
Timber,VinylSd,2006,85.0,1838,765,2,2,315000
NoRidge,VinylSd,2000,,2285,648,4,2,248000
NWAmes,VinylSd,1998,78.0,1680,583,3,2,213250
NAmes,MetalSd,1998,34.0,767,367,1,1,133000
Gilbert,VinylSd,2006,58.0,1496,426,3,2,179665
NWAmes,HdBoard,1988,,2183,786,4,2,229000
BrkSide,BrkFace,1923,70.0,1635,440,3,1,210000
Mitchel,VinylSd,1970,54.0,768,624,2,1,129500
OldTown,MetalSd,1955,49.0,825,720,2,1,125000
Somerst,VinylSd,2003,75.0,2094,615,4,2,263000
NPkVill,Plywood,1977,53.0,1069,440,2,2,140000
OldTown,BrkFace,1957,50.0,928,288,3,1,112500
NridgHt,VinylSd,2006,87.0,1717,908,3,2,255500
Edwards,VinylSd,1949,67.0,1126,520,2,2,108000
NridgHt,VinylSd,2003,85.0,2046,871,3,2,284000
BrkSide,MetalSd,1922,58.0,1048,280,2,1,113000
NAmes,Wd Sdng,1957,69.0,1092,299,2,1,141000
IDOTRR,MetalSd,1920,60.0,1336,570,3,1,108000
Gilbert,HdBoard,1996,57.0,1446,406,3,2,175000
Blmngtn,VinylSd,2003,,1557,420,2,2,234000
Sawyer,Wd Sdng,1957,,1392,528,3,1,121500
Mitchel,HdBoard,1974,77.0,1389,418,2,1,170000
Edwards,WdShing,1940,63.0,996,0,3,1,108000
Edwards,Wd Sdng,1918,66.0,1674,396,4,2,185000
NoRidge,HdBoard,1992,,2295,590,4,2,268000
SWISU,Wd Sdng,1915,66.0,1647,216,4,1,128000
StoneBr,VinylSd,2005,77.0,2504,656,4,2,325000
NridgHt,VinylSd,2004,70.0,1535,532,3,2,214000
SawyerW,Wd Sdng,1983,79.0,2132,612,1,1,316600
NAmes,MetalSd,1979,,943,600,2,1,135960
NAmes,HdBoard,1965,74.0,1728,576,6,2,142600
NAmes,WdShing,1959,60.0,864,288,2,1,120000
Timber,VinylSd,2009,83.0,1692,650,3,2,224500
Gilbert,VinylSd,2000,76.0,1430,400,3,2,170000
NAmes,MetalSd,1971,70.0,1109,288,3,1,139000
NAmes,MetalSd,1947,80.0,1216,336,2,1,118500
SWISU,Wd Sdng,1928,52.0,1477,216,3,2,145000
Sawyer,VinylSd,1966,96.0,1320,564,3,1,164500
Somerst,VinylSd,2007,34.0,1392,540,2,2,146000
OldTown,MetalSd,1954,81.0,1795,352,4,2,131500
NAmes,Wd Sdng,1960,,1429,572,3,1,181900
NridgHt,VinylSd,2008,98.0,2042,1390,3,2,253293
Edwards,HdBoard,1990,81.0,816,0,3,1,118500
OldTown,Wd Sdng,1893,75.0,2775,880,3,3,325000
BrkSide,AsbShng,1935,51.0,1573,240,3,1,133000
Timber,VinylSd,2005,88.0,2028,880,2,2,369900
BrkSide,Stucco,1918,55.0,838,275,2,1,130000
Sawyer,HdBoard,1982,74.0,860,528,2,1,137000
ClearCr,Wd Sdng,1968,65.0,1473,452,1,1,143000
BrkSide,VinylSd,1930,50.0,935,308,2,1,79500
CollgCr,VinylSd,2004,64.0,1582,520,3,2,185900
NridgHt,CemntBd,2008,97.0,2296,842,3,2,451950
Mitchel,HdBoard,1982,60.0,816,816,2,1,138000
CollgCr,VinylSd,2003,,848,420,1,1,140000
CollgCr,HdBoard,1975,88.0,924,280,3,1,110000
StoneBr,VinylSd,2005,69.0,1826,758,3,2,319000
OldTown,VinylSd,1910,60.0,1368,216,3,1,114504
Blmngtn,VinylSd,2006,53.0,1402,648,2,0,194201
Crawfor,Plywood,1977,80.0,1647,621,3,2,217500
Blueste,MetalSd,1980,24.0,1556,452,3,2,151000
NridgHt,VinylSd,2005,74.0,1904,736,3,2,275000
IDOTRR,Wd Sdng,1937,50.0,1375,544,3,1,141000
SawyerW,HdBoard,1992,80.0,1915,506,3,2,220000
Somerst,MetalSd,2004,30.0,1200,480,2,2,151000
CollgCr,VinylSd,2002,88.0,1494,530,3,2,221000
NAmes,HdBoard,1965,85.0,1986,486,3,2,205000
CollgCr,VinylSd,1996,82.0,1040,576,3,1,152000
Edwards,MetalSd,1948,78.0,2008,230,3,3,225000
Crawfor,BrkFace,1934,78.0,3194,380,4,2,359100
Sawyer,VinylSd,1961,61.0,1029,261,3,1,118500
CollgCr,VinylSd,2000,,2153,736,3,2,313000
NWAmes,HdBoard,1978,,1032,564,3,2,148000
CollgCr,VinylSd,2001,,1872,531,3,2,261500
Mitchel,VinylSd,2007,70.0,1120,0,3,1,147000
MeadowV,CemntBd,1972,21.0,630,0,1,1,75500
NAmes,MetalSd,1963,80.0,1054,480,3,1,137500
Gilbert,VinylSd,2002,,1509,393,3,2,183200
NAmes,MetalSd,1954,59.0,832,528,2,1,105500
NridgHt,CemntBd,2007,90.0,1828,774,3,2,314813
Timber,VinylSd,2003,85.0,2262,749,4,2,305000
Edwards,Stucco,1914,45.0,864,0,2,1,67000
NWAmes,HdBoard,1974,90.0,2614,624,4,2,240000
Sawyer,Plywood,1977,71.0,980,484,3,1,135000
Somerst,MetalSd,2000,,1512,440,2,2,168500
NWAmes,VinylSd,1972,80.0,1790,484,4,1,165150
NAmes,Wd Sdng,1962,87.0,1116,440,3,1,160000
NAmes,Wd Sdng,1960,,1422,286,3,1,139900
NAmes,AsbShng,1955,80.0,1520,364,3,1,153000
NAmes,Plywood,1969,70.0,2080,504,5,1,135000
NAmes,Plywood,1964,82.0,1350,520,3,1,168500
OldTown,VinylSd,1880,50.0,1750,240,3,1,124000
NridgHt,VinylSd,2006,34.0,1554,627,2,2,209500
NWAmes,Plywood,1977,85.0,1411,544,3,2,82500
NAmes,Wd Sdng,1954,80.0,1056,260,3,1,139400
OldTown,Plywood,1980,64.0,1056,576,0,0,144000
SWISU,VinylSd,1914,60.0,3395,0,8,2,200000
BrkSide,AsbShng,1936,51.0,800,0,1,1,60000
OldTown,Wd Sdng,1954,50.0,1387,256,3,2,93000
Edwards,MetalSd,1910,67.0,796,0,2,1,85000
Blmngtn,VinylSd,2006,53.0,1567,648,1,2,264561
NridgHt,MetalSd,2003,62.0,1518,588,1,1,274000
Somerst,VinylSd,2001,,1929,650,3,2,226000
NAmes,Plywood,1972,75.0,2704,538,4,2,345000
NWAmes,WdShing,1969,80.0,1620,462,4,2,152000
Somerst,CemntBd,2009,85.0,1766,478,2,2,370878
NAmes,Plywood,1971,,981,576,3,1,143250
NAmes,MetalSd,1950,60.0,1048,420,3,1,98300
Edwards,Wd Sdng,1953,85.0,1094,495,3,1,155000
NAmes,MetalSd,1966,70.0,1839,442,4,1,155000
MeadowV,CemntBd,1970,21.0,630,0,1,1,84500
Somerst,CemntBd,2007,65.0,1665,562,3,2,205950
Edwards,MetalSd,1940,60.0,1510,296,4,1,108000
CollgCr,VinylSd,1996,70.0,1716,512,2,2,191000
IDOTRR,MetalSd,1906,60.0,1469,216,3,1,135000
NoRidge,MetalSd,1995,91.0,2113,839,2,2,350000
BrDale,HdBoard,1971,21.0,1092,264,3,1,88000
NAmes,HdBoard,1959,72.0,1053,312,3,1,145500
Crawfor,Stucco,1931,60.0,1502,270,3,1,149000
NAmes,VinylSd,1948,78.0,1458,330,3,1,97500
Edwards,MetalSd,1964,75.0,1486,480,3,1,167000
NWAmes,Plywood,1976,,1935,550,3,2,197900
NoRidge,VinylSd,1994,52.0,2448,711,4,2,402000
NAmes,Wd Sdng,1968,120.0,1392,576,2,1,110000
Edwards,Plywood,1972,90.0,1181,588,3,2,137500
Somerst,VinylSd,2005,49.0,2097,1134,1,1,423000
Gilbert,VinylSd,2000,106.0,1936,504,3,2,230500
NAmes,Plywood,1965,,2380,596,3,2,129000
SawyerW,HdBoard,1994,65.0,1679,575,3,2,193500
Sawyer,CemntBd,1956,,1437,576,3,1,168000
Crawfor,MetalSd,1922,80.0,1180,252,2,1,137500
CollgCr,VinylSd,2005,64.0,1476,540,3,2,173500
Edwards,Wd Sdng,1925,54.0,1369,300,3,2,103600
Veenker,Plywood,1977,,1208,546,3,1,165000
Crawfor,CemntBd,1957,110.0,1839,416,3,2,257500
NAmes,HdBoard,1965,80.0,1136,384,3,1,140000
NPkVill,Plywood,1978,24.0,1441,440,3,2,148500
OldTown,AsbShng,1900,60.0,1774,779,4,2,87000
OldTown,VinylSd,1924,52.0,792,240,2,1,109500
StoneBr,VinylSd,2008,80.0,2046,834,3,2,372500
Sawyer,Wd Sdng,1961,,988,572,3,1,128500
SawyerW,Plywood,1980,50.0,923,264,2,2,143000
SWISU,VinylSd,1932,55.0,1520,281,3,1,159434
ClearCr,Wd Sdng,1996,,1291,431,2,1,173000
CollgCr,VinylSd,2002,90.0,1668,702,3,2,285000
NoRidge,VinylSd,1998,58.0,1839,486,4,2,221000
StoneBr,HdBoard,1984,,2090,577,3,2,207500
Somerst,VinylSd,2007,84.0,1761,578,3,3,227875
Somerst,MetalSd,2004,,1102,480,2,2,148800
StoneBr,MetalSd,2007,60.0,1419,567,2,2,392000
NridgHt,VinylSd,2005,61.0,1362,460,2,2,194700
CollgCr,VinylSd,2004,,848,420,1,1,141000
NoRidge,HdBoard,1994,104.0,4316,832,4,3,755000
Timber,MetalSd,1989,42.0,2519,628,4,2,335000
OldTown,MetalSd,1921,60.0,1073,326,2,1,108480
BrkSide,Wd Sdng,1936,51.0,1539,576,3,1,141500
Timber,HdBoard,1987,54.0,1137,551,2,2,176000
BrkSide,Wd Sdng,1921,50.0,616,205,2,1,89000
Edwards,Wd Sdng,1952,57.0,1148,308,2,1,123500
Sawyer,MetalSd,1965,65.0,894,336,3,1,138500
Somerst,MetalSd,2004,59.0,1391,530,2,2,196000
Timber,VinylSd,2002,85.0,1800,765,3,2,312500
NWAmes,HdBoard,1969,80.0,1164,528,3,1,140000
StoneBr,VinylSd,2006,82.0,2576,666,4,2,361919
OldTown,Wd Sdng,1900,76.0,1812,672,4,2,140000
CollgCr,VinylSd,2004,70.0,1484,606,3,2,213000
IDOTRR,VinylSd,1930,70.0,1092,0,3,2,55000
ClearCr,Plywood,1971,,1824,739,2,2,302000
NridgHt,MetalSd,2006,48.0,1324,550,2,2,254000
Gilbert,VinylSd,2007,65.0,1456,400,3,2,179540
Sawyer,HdBoard,1966,,904,408,3,1,109900
BrkSide,VinylSd,1935,56.0,729,0,2,1,52000
IDOTRR,MetalSd,1900,66.0,1178,384,2,1,102776
StoneBr,HdBoard,1988,40.0,1228,472,2,2,189000
BrkSide,HdBoard,1970,60.0,960,576,3,1,129000
Sawyer,HdBoard,1976,,1479,475,3,2,130500
NWAmes,HdBoard,1974,78.0,1350,478,3,2,165000
OldTown,Wd Sdng,1890,60.0,2554,704,3,1,159500
NWAmes,HdBoard,1973,80.0,1178,439,3,1,157000
NoRidge,Wd Sdng,1993,96.0,2418,983,3,2,341000
CollgCr,HdBoard,1969,69.0,971,300,3,1,128500
StoneBr,HdBoard,1985,,1742,564,2,2,275000
CollgCr,VinylSd,2004,,848,420,1,1,143000
NAmes,MetalSd,1970,70.0,864,463,3,1,124500
Edwards,MetalSd,1954,60.0,1470,548,4,2,135000
Edwards,CemntBd,2007,86.0,1698,768,3,2,320000
NAmes,HdBoard,1970,60.0,864,660,3,1,120500
Crawfor,Wd Sdng,1988,,1680,540,3,2,222000
CollgCr,VinylSd,2007,64.0,1232,632,2,2,194500
NAmes,VinylSd,1958,85.0,1776,888,4,2,110000
IDOTRR,MetalSd,1925,52.0,1208,539,2,1,103000
StoneBr,CemntBd,1995,39.0,1616,608,2,2,236500
Timber,VinylSd,2003,73.0,1146,438,3,2,187500
CollgCr,VinylSd,1998,75.0,2031,541,3,2,222500
Sawyer,HdBoard,1961,80.0,1144,264,3,1,131400
Sawyer,Plywood,1968,,948,300,3,1,108000
OldTown,Wd Sdng,1914,60.0,1768,320,2,1,163000
NAmes,Stucco,1950,60.0,1040,400,2,2,93500
Gilbert,VinylSd,2005,72.0,1801,800,3,2,239900
Edwards,Plywood,1987,60.0,1200,0,3,3,179000
CollgCr,VinylSd,2004,65.0,1728,572,3,2,190000
OldTown,Wd Sdng,1910,60.0,1432,360,2,2,132000
Sawyer,HdBoard,1961,65.0,912,288,3,1,142000
SawyerW,VinylSd,2000,65.0,1349,539,3,2,179000
Sawyer,HdBoard,1963,70.0,1464,480,3,2,175000
StoneBr,HdBoard,1993,41.0,1337,462,2,2,180000
NWAmes,VinylSd,1976,,2715,831,4,3,299800
Gilbert,VinylSd,2000,,2256,554,4,2,236000
OldTown,Stucco,1880,65.0,2640,864,4,1,265979
NoRidge,VinylSd,1996,59.0,1720,527,3,2,260400
Edwards,WdShing,1945,50.0,1529,240,4,2,98000
OldTown,Wd Sdng,1910,55.0,1140,0,3,1,96500
Gilbert,VinylSd,2003,,1320,400,3,2,162000
CollgCr,VinylSd,1997,79.0,1494,576,3,2,217000
NridgHt,VinylSd,2005,80.0,2098,878,3,2,275500
NAmes,Plywood,1969,61.0,1026,440,3,1,156000
Somerst,MetalSd,1999,34.0,1471,440,3,2,172500
CollgCr,VinylSd,2007,68.0,1768,578,3,2,212000
Sawyer,HdBoard,1978,,1386,440,3,2,158900
Somerst,MetalSd,1999,24.0,1501,440,3,2,179400
NoRidge,VinylSd,1995,65.0,2531,752,4,2,290000
NAmes,Wd Sdng,1959,70.0,864,300,2,1,127500
BrkSide,Wd Sdng,1924,60.0,1301,440,2,1,100000
Somerst,VinylSd,2009,72.0,1547,614,3,2,215200
NoRidge,VinylSd,1999,82.0,2365,856,3,2,337000
Veenker,BrkFace,1995,30.0,1494,481,2,1,270000
Somerst,VinylSd,2008,75.0,1506,592,2,2,264132
NWAmes,HdBoard,1988,80.0,1714,496,3,2,196500
Mitchel,VinylSd,1940,75.0,1750,423,4,2,160000
CollgCr,VinylSd,2004,70.0,1836,484,3,2,216837
StoneBr,CemntBd,2003,47.0,3279,841,4,3,538000
Sawyer,Wd Sdng,1982,,858,576,2,1,134900
Edwards,Wd Sdng,1951,67.0,1220,396,2,1,102000
Edwards,Plywood,1976,94.0,1117,672,3,1,107000
NAmes,Wd Sdng,1958,70.0,912,275,2,1,114500
NridgHt,VinylSd,2006,110.0,1973,895,3,2,395000
Mitchel,VinylSd,1998,32.0,1204,412,2,2,162000
CollgCr,VinylSd,2005,86.0,1614,865,3,2,221500
Sawyer,HdBoard,1974,100.0,894,440,3,1,142500
SawyerW,Plywood,1977,60.0,2020,630,4,2,144000
Mitchel,Plywood,1977,78.0,1004,504,2,1,135000
Gilbert,HdBoard,1995,63.0,1253,402,3,2,176000
SawyerW,VinylSd,1992,65.0,1603,484,3,2,175900
CollgCr,VinylSd,2001,67.0,1430,605,3,2,187100
Mitchel,Plywood,1978,,1110,602,1,1,165500
OldTown,Wd Sdng,1914,35.0,1484,0,3,2,128000
NWAmes,BrkFace,1967,,1342,457,3,2,161500
OldTown,MetalSd,1915,60.0,1652,416,4,2,139000
SawyerW,VinylSd,2004,76.0,2084,618,4,2,233000
OldTown,MetalSd,1954,50.0,901,281,2,1,107900
ClearCr,HdBoard,1966,,2087,444,5,2,187500
Blmngtn,VinylSd,2005,43.0,1145,397,2,2,160200
Mitchel,HdBoard,1976,,1062,539,3,1,146800
NoRidge,MetalSd,1996,92.0,2013,455,3,2,269790
Somerst,CemntBd,2007,76.0,1496,474,3,2,225000
Gilbert,MetalSd,1994,,1895,409,3,2,194500
SawyerW,HdBoard,1980,70.0,1564,476,3,2,171000
Sawyer,Plywood,1977,71.0,1285,528,3,1,143500
NAmes,VinylSd,1953,57.0,773,240,2,1,110000
NridgHt,VinylSd,2008,104.0,3140,820,4,3,485000
SWISU,Wd Sdng,1937,60.0,1768,240,3,1,175000
ClearCr,VinylSd,1997,79.0,1688,603,4,2,200000
IDOTRR,MetalSd,1916,40.0,1196,440,2,1,109900
CollgCr,WdShing,2005,63.0,1456,410,3,2,189000
NridgHt,VinylSd,2008,107.0,2822,1020,4,3,582933
NAmes,Wd Sdng,1954,75.0,1128,286,2,1,118000
Somerst,VinylSd,2008,91.0,1428,554,3,2,227680
NAmes,VinylSd,1967,75.0,980,384,3,2,135500
BrkSide,Wd Sdng,1923,144.0,1576,528,3,1,223500
NAmes,VinylSd,1966,85.0,1086,484,3,1,159950
OldTown,AsbShng,1898,90.0,2138,360,2,2,106000
NWAmes,HdBoard,1974,78.0,1309,484,3,1,181000
CollgCr,VinylSd,2004,,848,420,1,1,144500
IDOTRR,Wd Sdng,1952,66.0,1044,504,2,1,55993
NAmes,MetalSd,1958,75.0,1442,301,4,1,157900
Edwards,Stucco,1918,45.0,1250,280,3,1,116000
CollgCr,VinylSd,1998,48.0,1661,598,3,2,224900
NAmes,BrkFace,1954,,1008,275,2,1,137000
Mitchel,CemntBd,2002,,1689,857,3,2,271000
ClearCr,HdBoard,1971,80.0,1052,440,3,1,155000
NridgHt,VinylSd,2009,44.0,1358,484,2,2,224000
CollgCr,VinylSd,2003,72.0,1640,595,3,2,183000
OldTown,MetalSd,1953,60.0,936,576,2,1,93000
Gilbert,VinylSd,2003,,1733,433,3,2,225000
SWISU,VinylSd,1940,60.0,1489,240,3,2,139500
Somerst,VinylSd,2006,81.0,1489,776,3,2,232600
NridgHt,CemntBd,2007,114.0,2084,1220,2,2,385000
BrkSide,MetalSd,1924,50.0,784,0,2,1,109500
SawyerW,VinylSd,2001,65.0,1434,527,3,2,189000
ClearCr,Plywood,1967,,2126,538,3,2,185000
Somerst,MetalSd,2005,24.0,1223,480,2,2,147400
NAmes,HdBoard,1957,80.0,1392,458,3,1,166000
Somerst,MetalSd,2005,30.0,1200,480,2,2,151000
CollgCr,VinylSd,2003,44.0,1829,613,3,2,237000
NAmes,HdBoard,1964,100.0,1516,472,3,1,167000
NAmes,VinylSd,1961,75.0,1144,456,3,1,139950
Sawyer,VinylSd,1950,60.0,1067,436,2,2,128000
OldTown,VinylSd,1948,90.0,1559,812,2,1,153500
BrDale,HdBoard,1973,21.0,987,264,2,1,100000
CollgCr,VinylSd,1995,75.0,1099,352,3,1,144000
Edwards,MetalSd,1946,70.0,1200,240,3,1,130500
SWISU,Wd Sdng,1925,,1482,400,4,2,140000
OldTown,MetalSd,1904,60.0,1539,686,3,2,157500
NAmes,HdBoard,1966,82.0,1165,490,3,1,174900
NAmes,BrkFace,1961,80.0,1800,0,6,2,141000
OldTown,Wd Sdng,1915,100.0,1416,720,4,1,153900
Sawyer,HdBoard,1975,,1701,611,3,2,171000
SawyerW,HdBoard,1993,75.0,1775,425,3,2,213000
CollgCr,HdBoard,1972,36.0,864,338,3,1,133500
ClearCr,Wd Sdng,1908,75.0,2358,360,5,3,240000
Veenker,Plywood,1976,80.0,1855,512,3,2,187000
CollgCr,VinylSd,2003,36.0,848,420,1,1,131500
Blmngtn,VinylSd,2003,,1456,400,2,2,215000
Crawfor,MetalSd,1941,53.0,1646,240,4,2,164000
NAmes,MetalSd,1964,,1445,645,3,1,158000
Sawyer,Wd Sdng,1955,102.0,1779,454,3,1,170000
Sawyer,HdBoard,1962,,1040,260,3,1,127000
CollgCr,Plywood,1978,,1026,576,3,1,147000
Gilbert,HdBoard,1994,65.0,1481,343,3,2,174000
NWAmes,HdBoard,1976,80.0,1370,479,3,2,152000
NWAmes,HdBoard,1968,,2654,619,4,2,250000
Crawfor,Wd Sdng,1918,55.0,1426,216,3,1,189950
Sawyer,Plywood,1965,75.0,1039,504,3,1,131500
SawyerW,HdBoard,1984,81.0,1097,480,3,2,152000
NAmes,BrkFace,1959,70.0,1148,672,3,1,132500
Somerst,VinylSd,2007,72.0,1372,529,3,2,250580
NAmes,MetalSd,1970,,1002,902,3,1,148500
Timber,VinylSd,2006,67.0,1646,870,3,2,248900
Sawyer,VinylSd,1961,85.0,1120,544,3,1,129000
Gilbert,Plywood,1948,,2320,672,2,2,169000
SawyerW,MetalSd,1993,80.0,1949,574,3,2,236000
NAmes,MetalSd,1962,60.0,894,308,2,1,109500
CollgCr,VinylSd,1998,70.0,1682,523,3,2,200500
NAmes,WdShing,1953,74.0,910,414,3,1,116000
NAmes,HdBoard,1949,60.0,1268,288,3,1,133000
OldTown,Wd Sdng,1941,52.0,1131,200,3,1,66500
Somerst,CemntBd,2007,75.0,2610,550,4,2,303477
Mitchel,HdBoard,1963,94.0,1040,648,3,1,132250
NridgHt,VinylSd,2004,74.0,2224,738,4,2,350000
Sawyer,HdBoard,1961,88.0,1155,576,3,1,148000
CollgCr,VinylSd,1978,,864,336,3,1,136500
Edwards,VinylSd,2005,60.0,1090,450,2,1,157000
Timber,HdBoard,1990,44.0,1717,400,3,2,187500
Gilbert,VinylSd,1992,,1593,389,3,2,178000
SWISU,Wd Sdng,1912,60.0,2230,440,5,1,118500
NAmes,HdBoard,1967,65.0,892,288,3,1,100000
Somerst,MetalSd,1999,50.0,1709,506,2,2,328900
NAmes,MetalSd,1959,70.0,1712,588,4,2,145000
Edwards,MetalSd,1955,59.0,1393,300,3,1,135500
NAmes,Wd Sdng,1970,95.0,2217,621,4,2,268000
NAmes,Wd Sdng,1953,128.0,1505,505,2,1,149500
NAmes,MetalSd,1949,60.0,924,576,3,1,122900
Sawyer,HdBoard,1978,70.0,1683,440,3,2,172500
Sawyer,HdBoard,1963,70.0,1068,264,3,1,154500
Sawyer,Wd Sdng,1954,,1383,354,3,1,165000
SawyerW,Plywood,1979,64.0,1535,400,4,2,118858
NAmes,HdBoard,1963,71.0,1796,483,4,1,140000
IDOTRR,Wd Sdng,1936,50.0,951,327,2,1,106500
SawyerW,Plywood,1979,64.0,2240,528,6,2,142953
NridgHt,VinylSd,2009,100.0,2364,820,2,2,611657
Sawyer,HdBoard,1961,65.0,1236,288,3,1,135000
NAmes,HdBoard,1971,,858,684,2,1,110000
NAmes,MetalSd,1957,64.0,1306,756,2,1,153000
Gilbert,VinylSd,2003,63.0,1509,393,3,2,180000
Gilbert,VinylSd,2006,50.0,1670,690,3,2,240000
Sawyer,HdBoard,1967,,902,288,3,1,125500
NAmes,HdBoard,1954,80.0,1063,280,3,1,128000
Somerst,VinylSd,2006,116.0,1636,865,3,2,255000
Crawfor,BrkFace,1936,86.0,2057,180,3,1,250000
Mitchel,HdBoard,1983,,902,484,2,1,131000
Gilbert,VinylSd,2005,149.0,1484,390,3,2,174000
NAmes,MetalSd,1960,80.0,2274,480,5,2,154300
CollgCr,HdBoard,1977,,1268,252,3,1,143500
BrkSide,MetalSd,1925,51.0,1015,450,3,1,88000
Crawfor,MetalSd,1949,82.0,2002,871,4,2,145000
Somerst,VinylSd,2009,30.0,1224,528,2,2,173733
MeadowV,CemntBd,1970,21.0,1092,286,3,1,75000
IDOTRR,AsbShng,1949,50.0,480,308,1,0,35311
Edwards,VinylSd,1956,,1229,284,3,1,135000
SawyerW,HdBoard,1991,103.0,2127,833,4,2,238000
NAmes,MetalSd,1958,87.0,1414,601,3,1,176500
SawyerW,HdBoard,1994,70.0,1721,471,3,2,201000
Edwards,MetalSd,1900,67.0,2200,0,4,2,145900
