dept,title,race,gender,experience_level,experience,salary
Houston Police Department-HPD,POLICE OFFICER,White,Male,Experienced,6.5,50621.0
Houston Fire Department (HFD),FIRE FIGHTER,Hispanic,Male,Experienced,13.2,55437.0
Houston Fire Department (HFD),CAPTAIN,Black,Male,Veteran,17.0,66523.0
Houston Police Department-HPD,POLICE OFFICER,Black,Male,Novice,2.8,45279.0
Houston Fire Department (HFD),ENGINEER OPERATOR,White,Male,Veteran,37.2,
Parks & Recreation,EQUIPMENT WORKER,Black,Male,Veteran,17.4,33488.0
Houston Fire Department (HFD),FIRE FIGHTER,White,Male,Experienced,7.8,51194.0
Public Works & Engineering-PWE,UTILITY WORKER,Black,Male,Novice,2.0,28995.0
Public Works & Engineering-PWE,SUPERVISING ENGINEER,Asian,Female,Experienced,8.0,90716.0
Houston Airport System (HAS),EQUIPMENT OPERATOR II,Hispanic,Male,Veteran,18.7,41808.0
Health & Human Services,DIVISION MANAGER (EXECUTIVE LEVEL),Asian,Female,Experienced,12.2,94149.0
Public Works & Engineering-PWE,STAFF ANALYST,White,Female,Veteran,16.7,73783.0
Houston Police Department-HPD,POLICE SERGEANT,Black,Male,Veteran,32.9,81239.0
Houston Fire Department (HFD),FIRE FIGHTER,Black,Male,Experienced,13.4,55437.0
Houston Police Department-HPD,POLICE OFFICER,Hispanic,Female,Novice,3.1,45279.0
Houston Fire Department (HFD),FIRE FIGHTER,Hispanic,Female,Novice,3.9,48190.0
Houston Fire Department (HFD),FIRE FIGHTER,Hispanic,Male,Experienced,8.5,51194.0
Public Works & Engineering-PWE,SENIOR PLAN ANALYST,Black,Male,Experienced,7.3,54600.0
Houston Police Department-HPD,POLICE OFFICER,White,Male,Experienced,9.4,55461.0
Public Works & Engineering-PWE,PLANT OPERATOR,White,Male,Novice,2.2,39478.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Novice,1.9,61643.0
Houston Police Department-HPD,POLICE OFFICER,Hispanic,Male,Experienced,9.4,55461.0
Public Works & Engineering-PWE,RECORDS TECHNICIAN,Black,Female,Novice,0.6,28600.0
Public Works & Engineering-PWE,ELECTRICIAN,White,Male,Novice,0.7,44096.0
Houston Police Department-HPD,POLICE SERGEANT,Black,Male,Veteran,17.8,81239.0
Public Works & Engineering-PWE,SENIOR INSPECTOR,Black,Female,Veteran,22.8,60133.0
Health & Human Services,MICROBIOLOGIST III,White,Male,Novice,4.8,52072.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,White,Male,Veteran,15.5,62540.0
Public Works & Engineering-PWE,CHEMIST II,Asian,Female,Experienced,13.2,51168.0
Public Works & Engineering-PWE,WATER SERVICE INSPECTOR I,Black,Male,Novice,3.3,32240.0
Public Works & Engineering-PWE,CUSTOMER SERVICE REPRESENTATIVE II,Hispanic,Female,Novice,1.9,33488.0
Houston Fire Department (HFD),FIRE FIGHTER,White,Male,Experienced,6.5,61921.0
Houston Police Department-HPD,POLICE OFFICER,Black,Male,Novice,3.1,45279.0
Houston Police Department-HPD,POLICE OFFICER,Asian,Male,Experienced,6.5,50621.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,White,Male,Experienced,13.2,62540.0
Public Works & Engineering-PWE,PUBLIC WORKS MAINTENANCE SECTION CHIEF,Black,Male,Veteran,25.4,53851.0
Houston Police Department-HPD,POLICE CAPTAIN,White,Male,Veteran,33.8,104455.0
Houston Police Department-HPD,POLICE OFFICER,White,Male,Experienced,7.9,55461.0
Houston Fire Department (HFD),FIRE FIGHTER,Black,Male,Experienced,9.1,52644.0
Houston Police Department-HPD,JAIL ATTENDANT,Black,Female,Experienced,8.1,36317.0
Houston Police Department-HPD,DATA ENTRY OPERATOR,Black,Male,Experienced,10.3,27893.0
Public Works & Engineering-PWE,CUSTOMER SERVICE REPRESENTATIVE III,Black,Male,Experienced,11.9,42266.0
Houston Police Department-HPD,MOBILITY SERVICE OFFICER,Black,Female,Veteran,31.7,44970.0
Houston Fire Department (HFD),FIRE FIGHTER,White,Male,Veteran,30.7,61226.0
Parks & Recreation,PARK MAINTENANCE AIDE,Black,Male,Novice,1.3,
Public Works & Engineering-PWE,UTILITY WORKER,Black,Male,Experienced,13.0,35797.0
Houston Airport System (HAS),DIVISION MANAGER,White,Female,Veteran,20.1,88003.0
Houston Fire Department (HFD),FIRE FIGHTER,White,Male,Experienced,10.8,52644.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Hispanic,Male,Veteran,23.1,66614.0
Houston Fire Department (HFD),FIRE FIGHTER,White,Male,Experienced,12.7,55437.0
Health & Human Services,SENIOR PUBLIC HEALTH INVESTIGATOR,Black,Female,Experienced,5.8,38189.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,16.1,61643.0
Health & Human Services,PUBLIC HEALTH NURSE IV,Black,Female,Veteran,24.4,76246.0
Public Works & Engineering-PWE,ADMINISTRATIVE ASSISTANT,Hispanic,Female,Veteran,25.6,40352.0
Houston Police Department-HPD,POLICE SERGEANT,White,Male,Veteran,33.2,
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,35.2,66614.0
Houston Fire Department (HFD),CAPTAIN,White,Male,Veteran,22.3,70181.0
Public Works & Engineering-PWE,UTILITY MECHANIC,Hispanic,Male,Novice,0.6,30597.0
Public Works & Engineering-PWE,TECHNICAL HARDWARE ANALYST I,Black,Female,Novice,0.6,39666.0
Houston Fire Department (HFD),FIRE FIGHTER,White,Male,Experienced,13.2,55437.0
Houston Fire Department (HFD),CHIEF COMMUNICATION OFFICER,White,Male,Veteran,38.7,89590.0
Health & Human Services,CUSTOMER SERVICE CLERK,Hispanic,Female,Veteran,24.2,30410.0
Health & Human Services,CLINIC ASSISTANT,Black,Female,Experienced,10.4,30597.0
Houston Airport System (HAS),EQUIPMENT OPERATOR I,White,Male,Experienced,10.1,27851.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,31.5,66614.0
Houston Fire Department (HFD),FIRE FIGHTER,White,Male,Experienced,13.6,55437.0
Houston Police Department-HPD,CAR ATTENDANT,Black,Female,Novice,0.9,24960.0
Houston Police Department-HPD,POLICE OFFICER,Black,Male,Experienced,5.5,47650.0
Health & Human Services,SENIOR ACCOUNT CLERK,Hispanic,Female,Veteran,23.5,34299.0
Health & Human Services,COMMUNITY LIAISON,Black,Female,Experienced,12.2,49379.0
Public Works & Engineering-PWE,TECHNICAL HARDWARE ANALYST II,Black,Male,Experienced,11.4,51605.0
Public Works & Engineering-PWE,EQUIPMENT WORKER,Black,Male,Experienced,9.9,32968.0
Houston Airport System (HAS),LABORER,Hispanic,Female,Veteran,15.9,26125.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Black,Female,Veteran,22.3,66614.0
Houston Police Department-HPD,POLICE OFFICER,Black,Male,Experienced,13.5,60347.0
Public Works & Engineering-PWE,CUSTOMER SERVICE REPRESENTATIVE III,Black,Female,Experienced,11.2,35485.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,White,Male,Experienced,13.2,62540.0
Public Works & Engineering-PWE,CUSTOMER SERVICE REPRESENTATIVE I,Black,Female,Novice,0.8,30347.0
Health & Human Services,COMMUNITY RELATIONS SPECIALIST,Black,Female,Veteran,18.4,31470.0
Houston Police Department-HPD,POLICE OFFICER,White,Female,Experienced,11.4,60347.0
Houston Fire Department (HFD),FIRE FIGHTER TRAINEE,,Male,Novice,0.7,28024.0
Public Works & Engineering-PWE,GRADUATE ENGINEER,White,Male,Experienced,9.1,63461.0
Houston Police Department-HPD,POLICE LIEUTENANT,Asian,Female,Veteran,27.0,91181.0
Public Works & Engineering-PWE,ADMINISTRATIVE COORDINATOR,Black,Female,Veteran,27.4,70780.0
Houston Police Department-HPD,POLICE SERGEANT,Asian,Male,Veteran,23.3,81239.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Hispanic,Male,Veteran,15.5,61643.0
Houston Police Department-HPD,JAIL ATTENDANT,Black,Female,Experienced,8.6,35318.0
Houston Fire Department (HFD),"FIRE FIGHTER,PROBATIONARY",White,Male,Novice,1.4,40170.0
Houston Police Department-HPD,POLICE OFFICER,Hispanic,Male,Novice,3.3,50621.0
Health & Human Services,CUSTOMER SERVICE CLERK,Hispanic,Female,Novice,0.7,29245.0
Houston Police Department-HPD,POLICE SERGEANT,White,Male,Veteran,17.8,81239.0
Public Works & Engineering-PWE,PUBLIC WORKS MAINTENANCE MANAGER,Black,Male,Veteran,27.4,83744.0
Parks & Recreation,ADMINISTRATIVE COORDINATOR,Black,Female,Experienced,8.6,56826.0
Houston Fire Department (HFD),FIRE FIGHTER,White,Male,Veteran,27.5,61226.0
Public Works & Engineering-PWE,LABORER,Hispanic,Male,Novice,0.7,26104.0
Public Works & Engineering-PWE,TECHNICAL HARDWARE ANALYST III,White,Male,Experienced,7.3,59613.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,31.7,66614.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,27.2,66614.0
Houston Airport System (HAS),IT LEAD - CLIENT SUPPORT,,Male,Novice,0.8,80002.0
Houston Fire Department (HFD),FIRE FIGHTER,White,Male,Novice,2.7,43528.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,White,Male,Experienced,10.2,61921.0
Public Works & Engineering-PWE,DIVISION MANAGER,White,Male,Veteran,33.1,93089.0
Public Works & Engineering-PWE,CHEMIST IV,Asian,Male,Experienced,10.8,64432.0
Health & Human Services,LICENSED VOCATIONAL NURSE,,Female,Novice,0.8,49400.0
Public Works & Engineering-PWE,CUSTOMER SERVICE SECTION CHIEF,White,Female,Experienced,8.2,53726.0
Houston Police Department-HPD,POLICE LIEUTENANT,White,Male,Veteran,36.5,
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,31.2,66614.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Black,Male,Veteran,31.9,
Public Works & Engineering-PWE,PLAN ANALYST,White,Female,Experienced,8.2,34029.0
Health & Human Services,BREASTFEEDING PEER COUNSELOR,Hispanic,Female,Novice,1.1,28600.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Hispanic,Male,Veteran,21.8,66614.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Hispanic,Male,Veteran,16.8,61643.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,34.2,66614.0
Houston Police Department-HPD,POLICE SERGEANT,Black,Female,Veteran,25.6,81239.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Hispanic,Male,Veteran,17.8,66614.0
Houston Fire Department (HFD),FIRE FIGHTER,Hispanic,Male,Novice,4.2,48190.0
Houston Police Department-HPD,POLICE SERGEANT,White,Male,Veteran,24.6,81239.0
Public Works & Engineering-PWE,UTILITY WORKER,Black,Male,Experienced,8.9,30992.0
Parks & Recreation,MAINTENANCE MECHANIC III,Black,Male,Novice,3.5,35027.0
Houston Police Department-HPD,POLICE OFFICER,Hispanic,Female,Experienced,13.5,60347.0
Houston Airport System (HAS),DEPUTY ASSISTANT DIRECTOR (EX LVL),Black,Female,Experienced,5.1,110686.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,35.1,66614.0
Public Works & Engineering-PWE,FIELD SUPERVISOR,Black,Female,Veteran,20.9,45157.0
Houston Police Department-HPD,POLICE OFFICER,Black,Female,Experienced,10.5,52514.0
Houston Police Department-HPD,POLICE OFFICER,White,Male,Novice,2.5,43443.0
Houston Fire Department (HFD),FIRE FIGHTER TRAINEE,Black,Male,Novice,1.1,28024.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Female,Veteran,17.8,66614.0
Public Works & Engineering-PWE,SENIOR UTILITY MECHANIC,Black,Male,Experienced,8.4,36130.0
Houston Police Department-HPD,POLICE OFFICER,White,Male,Novice,5.0,47650.0
Houston Fire Department (HFD),CAPTAIN,Hispanic,Male,Veteran,16.0,66523.0
Houston Airport System (HAS),AIRPORT OPERATIONS SPECIALIST,Black,Male,Experienced,11.3,43826.0
Houston Police Department-HPD,POLICE OFFICER,Hispanic,Female,Novice,2.5,43443.0
Houston Fire Department (HFD),FIRE FIGHTER,White,Male,Veteran,30.7,61226.0
Public Works & Engineering-PWE,SENIOR PLAN ANALYST,White,Male,Experienced,7.0,54600.0
Houston Fire Department (HFD),FIRE FIGHTER,White,Male,Veteran,37.1,61226.0
Public Works & Engineering-PWE,WATER SERVICE INSPECTOR I,Black,Male,Experienced,14.2,34861.0
Public Works & Engineering-PWE,MICROBIOLOGIST III,Black,Female,Experienced,9.1,56992.0
Houston Fire Department (HFD),FIRE FIGHTER,White,Male,Novice,3.1,45791.0
Houston Police Department-HPD,POLICE OFFICER,White,Male,Experienced,6.5,50621.0
Houston Police Department-HPD,POLICE OFFICER,Black,Male,Experienced,5.5,47650.0
Parks & Recreation,SEMI-SKILLED LABORER,Hispanic,Male,Novice,2.0,26125.0
Health & Human Services,SANITARIAN I,Hispanic,Female,Novice,1.7,38709.0
Public Works & Engineering-PWE,UTILITY WORKER,Black,Male,Experienced,9.0,34320.0
Houston Police Department-HPD,JAIL ATTENDANT,Black,Male,Experienced,8.0,35838.0
Health & Human Services,MANAGEMENT ANALYST IV,Black,Male,Experienced,10.0,60496.0
Houston Police Department-HPD,POLICE OFFICER,Hispanic,Male,Experienced,9.6,55461.0
Public Works & Engineering-PWE,SUPERVISING ENGINEER,White,Male,Experienced,7.7,90716.0
Public Works & Engineering-PWE,PROJECT MANAGER,Asian,Male,Novice,4.4,55695.0
Houston Fire Department (HFD),FIRE FIGHTER,Hispanic,Male,Experienced,13.1,55437.0
Houston Police Department-HPD,POLICE OFFICER,Black,Female,Experienced,11.4,60347.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Black,Male,Veteran,15.4,61643.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,30.6,66614.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Female,Experienced,14.5,61643.0
Houston Police Department-HPD,POLICE SERGEANT,White,Female,Veteran,21.6,81239.0
Public Works & Engineering-PWE,ADMINISTRATIVE ASSOCIATE,Black,Female,Veteran,25.0,40851.0
Houston Fire Department (HFD),CAPTAIN,White,Male,Veteran,35.2,
Houston Police Department-HPD,POLICE TRAINEE,,Male,Novice,0.8,42000.0
Houston Fire Department (HFD),FIRE FIGHTER,White,Male,Veteran,18.7,61226.0
Public Works & Engineering-PWE,CUSTOMER SERVICE REPRESENTATIVE I,Black,Female,Veteran,18.0,30347.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,Hispanic,Male,Experienced,9.5,61921.0
Public Works & Engineering-PWE,SENIOR PLANT OPERATOR,Black,Male,Experienced,14.1,45926.0
Public Works & Engineering-PWE,SENIOR INSPECTOR,White,Male,Novice,4.1,56576.0
Public Works & Engineering-PWE,TECHNICAL HARDWARE ANALYST III,White,Male,Veteran,24.7,58157.0
Houston Police Department-HPD,POLICE OFFICER,Black,Female,Experienced,9.6,55461.0
Houston Police Department-HPD,POLICE OFFICER,White,Male,Experienced,9.2,55461.0
Public Works & Engineering-PWE,INSPECTOR,Black,Female,Novice,1.1,51563.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,White,Male,Experienced,6.5,61921.0
Public Works & Engineering-PWE,CUSTOMER SERVICE SECTION CHIEF,Black,Female,Experienced,14.7,52957.0
Houston Airport System (HAS),EQUIPMENT OPERATOR II,Asian,Male,Experienced,13.2,37003.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Hispanic,Male,Experienced,14.5,61643.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,38.5,
Public Works & Engineering-PWE,ENVIRONMENTAL INVESTIGATOR II,White,Male,Novice,1.0,40622.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Female,Veteran,34.0,66614.0
Parks & Recreation,FIELD SUPERVISOR,Hispanic,Male,Experienced,12.8,36920.0
Houston Fire Department (HFD),FIRE FIGHTER,Black,Male,Veteran,20.0,61226.0
Public Works & Engineering-PWE,SENIOR STAFF ANALYST,White,Female,Veteran,25.3,105503.0
Parks & Recreation,PARK MAINTENANCE AIDE,Black,Male,Experienced,13.0,
Houston Police Department-HPD,STAFF PSYCHOLOGIST,White,Female,Novice,4.6,99953.0
Public Works & Engineering-PWE,PROJECT MANAGER,Hispanic,Male,Experienced,11.3,63338.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,31.2,
Public Works & Engineering-PWE,SUPERVISING ENGINEER,White,Female,Novice,3.9,90715.0
Houston Police Department-HPD,POLICE SERGEANT,White,Male,Veteran,45.3,
Houston Police Department-HPD,POLICE OFFICER,White,Male,Experienced,11.4,60347.0
Public Works & Engineering-PWE,CUSTOMER SERVICE REPRESENTATIVE II,Black,Female,Experienced,8.8,33488.0
Houston Police Department-HPD,JAIL ATTENDANT,White,Female,Novice,2.6,35318.0
Houston Airport System (HAS),SPECIAL SERVICE REPRESENTATIVE,Hispanic,Male,Experienced,9.7,35318.0
Houston Police Department-HPD,POLICE SERGEANT,White,Male,Experienced,8.4,74511.0
Houston Airport System (HAS),DEPUTY DIRECTOR (EXECUTIVE LEVEL),Black,Female,Novice,3.5,150416.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Hispanic,Male,Veteran,32.7,66614.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Asian,Male,Experienced,15.0,61643.0
Houston Fire Department (HFD),FIRE FIGHTER,Asian,Male,Novice,2.2,43528.0
Houston Police Department-HPD,POLICE OFFICER,Hispanic,Female,Novice,4.4,47650.0
Health & Human Services,ADMINISTRATIVE ASSISTANT,Black,Female,Veteran,25.2,45614.0
Houston Fire Department (HFD),FIRE FIGHTER,White,Male,Experienced,7.9,51194.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,White,Male,Veteran,26.0,63166.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Hispanic,Male,Experienced,14.8,61643.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,21.9,66614.0
Houston Police Department-HPD,POLICE OFFICER,Black,Male,Experienced,9.7,55461.0
Houston Police Department-HPD,DATA ENTRY OPERATOR,Black,Female,Veteran,20.4,29827.0
Houston Airport System (HAS),LABORER,Black,Female,Experienced,8.6,26125.0
Public Works & Engineering-PWE,SENIOR INVENTORY MANAGEMENT CLERK,White,Male,Experienced,13.2,29765.0
Parks & Recreation,SEMI-SKILLED LABORER,Hispanic,Male,Veteran,20.2,29910.0
Parks & Recreation,SEMI-SKILLED LABORER,Black,Male,Novice,2.8,26125.0
Houston Police Department-HPD,"POLICE OFFICER,PROBATIONARY",Black,Male,Novice,1.4,42000.0
Public Works & Engineering-PWE,HUMAN RESOURCES ASSISTANT,Black,Female,Novice,2.0,32406.0
Health & Human Services,CUSTOMER SERVICE CLERK,Black,Female,Veteran,24.3,31387.0
Houston Fire Department (HFD),CAPTAIN,White,Male,Veteran,30.7,70181.0
Public Works & Engineering-PWE,SEMI-SKILLED LABORER,Black,Female,Novice,3.1,27373.0
Parks & Recreation,AQUATIC CENTER SUPERVISOR,Black,Male,Novice,0.5,
Houston Police Department-HPD,POLICE SERGEANT,Hispanic,Male,Veteran,19.5,81239.0
Houston Fire Department (HFD),FIRE FIGHTER,Hispanic,Male,Veteran,32.9,61226.0
Houston Police Department-HPD,POLICE OFFICER,Hispanic,Male,Experienced,6.5,50621.0
Public Works & Engineering-PWE,PLANT OPERATOR TRAINEE,Hispanic,Male,Novice,1.1,31158.0
Public Works & Engineering-PWE,SENIOR PROJECT MANAGER,Hispanic,Male,Novice,0.6,84500.0
Houston Police Department-HPD,MOBILITY SERVICE OFFICER,Black,Male,Experienced,8.9,41621.0
Houston Fire Department (HFD),"FIRE FIGHTER,PROBATIONARY",White,Male,Novice,1.7,40170.0
Health & Human Services,CUSTOMER SERVICE CLERK,Hispanic,Male,Experienced,14.3,31803.0
Houston Fire Department (HFD),FIRE FIGHTER,Hispanic,Male,Veteran,15.1,57815.0
Health & Human Services,SENIOR PUBLIC HEALTH INVESTIGATOR,Asian,Male,Experienced,13.9,46010.0
Parks & Recreation,RECREATION SPECIALIST,,Male,Novice,0.8,28808.0
Health & Human Services,SURVEILLANCE INVESTIGATOR-EPIDEMIOLOGY,White,Male,Novice,1.0,47362.0
Public Works & Engineering-PWE,DIVISION MANAGER,Asian,Female,Experienced,13.2,95950.0
Houston Fire Department (HFD),SENIOR CAPTAIN,Hispanic,Male,Veteran,18.9,78355.0
Houston Police Department-HPD,POLICE OFFICER,White,Male,Novice,3.5,45279.0
Public Works & Engineering-PWE,SENIOR DISPATCHER,Black,Female,Experienced,5.3,29931.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Black,Male,Veteran,31.7,66614.0
Public Works & Engineering-PWE,ADMINISTRATIVE ASSOCIATE,Black,Female,Experienced,13.0,34757.0
Parks & Recreation,ADMINISTRATIVE ASSISTANT,Hispanic,Female,Experienced,10.3,42640.0
Parks & Recreation,SUPERINTENDENT,Black,Female,Veteran,22.1,57533.0
Houston Fire Department (HFD),DISTRICT CHIEF,Hispanic,Male,Veteran,41.1,
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,23.7,66614.0
Houston Police Department-HPD,POLICE SERGEANT,Black,Male,Veteran,32.5,
Public Works & Engineering-PWE,CUSTOMER SERVICE REPRESENTATIVE I,Black,Female,Novice,1.2,30347.0
Houston Police Department-HPD,SENIOR POLICE SERVICE OFFICER,Black,Female,Veteran,24.7,32261.0
Houston Police Department-HPD,POLICE OFFICER,Hispanic,Female,Novice,4.4,47650.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Hispanic,Male,Veteran,19.3,66614.0
Houston Fire Department (HFD),CAPTAIN,White,Male,Veteran,26.7,70181.0
Health & Human Services,HUMAN SERVICE PROGRAM MANAGER,Black,Female,Experienced,7.7,63785.0
Parks & Recreation,GARDENER,Black,Male,Novice,1.0,28205.0
Houston Fire Department (HFD),FIRE FIGHTER,White,Male,Novice,3.4,45791.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,21.8,66614.0
Houston Fire Department (HFD),"FIRE FIGHTER,PROBATIONARY",Hispanic,Male,Novice,1.7,40170.0
Houston Police Department-HPD,POLICE OFFICER,Hispanic,Male,Experienced,13.5,60347.0
Public Works & Engineering-PWE,SUPERVISING ENGINEER,White,Female,Experienced,10.3,98752.0
Public Works & Engineering-PWE,EQUIPMENT WORKER,Black,Female,Novice,1.9,32968.0
Houston Fire Department (HFD),FIRE FIGHTER,Hispanic,Male,Novice,2.9,45791.0
Houston Police Department-HPD,POLICE OFFICER,White,Male,Novice,4.6,47650.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,White,Male,Experienced,13.7,62540.0
Public Works & Engineering-PWE,EQUIPMENT WORKER,Black,Male,Novice,1.5,34653.0
Houston Fire Department (HFD),FIRE FIGHTER,White,Male,Novice,3.4,45791.0
Public Works & Engineering-PWE,EQUIPMENT WORKER,Black,Male,Novice,0.9,32968.0
Houston Police Department-HPD,POLICE OFFICER,Hispanic,Male,Novice,3.8,47650.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Black,Male,Veteran,23.3,66614.0
Houston Police Department-HPD,POLICE OFFICER,White,Male,Experienced,11.4,60347.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Hispanic,Female,Veteran,21.6,66614.0
Public Works & Engineering-PWE,CUSTOMER SERVICE REPRESENTATIVE III,Hispanic,Male,Novice,4.2,36920.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,24.4,66614.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Hispanic,Male,Veteran,36.3,
Houston Police Department-HPD,POLICE OFFICER,Hispanic,Male,Experienced,6.5,50621.0
Public Works & Engineering-PWE,SENIOR GIS TECHNICIAN,Hispanic,Female,Experienced,7.3,44866.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Black,Male,Veteran,21.7,66614.0
Public Works & Engineering-PWE,TECHNICAL HARDWARE ANALYST II,Hispanic,Male,Veteran,23.1,53581.0
Houston Police Department-HPD,POLICE OFFICER,White,Male,Novice,1.8,43443.0
Houston Airport System (HAS),ACCOUNTANT ASSOCIATE,Black,Female,Veteran,19.6,39229.0
Houston Police Department-HPD,SENIOR OFFICE ASSISTANT,Black,Female,Novice,4.9,29890.0
Houston Police Department-HPD,POLICE SERGEANT,Black,Male,Veteran,25.2,81239.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,White,Male,Experienced,10.2,61921.0
Houston Fire Department (HFD),CAPTAIN,White,Male,Veteran,15.1,66523.0
Houston Airport System (HAS),REGULATORY INVESTIGATOR,Hispanic,Male,Veteran,19.0,33238.0
Public Works & Engineering-PWE,SEMI-SKILLED LABORER,Asian,Male,Veteran,23.9,34611.0
Houston Fire Department (HFD),CUSTOMER SERVICE REPRESENTATIVE III,Hispanic,Female,Veteran,15.2,41267.0
Houston Police Department-HPD,POLICE OFFICER,White,Male,Experienced,9.6,55461.0
Houston Fire Department (HFD),CAPTAIN,White,Male,Veteran,34.4,70181.0
Houston Police Department-HPD,DWI TECHNICIAN,Black,Male,Novice,1.3,43035.0
Houston Police Department-HPD,SENIOR OFFICE ASSISTANT,Asian,Female,Veteran,27.8,35152.0
Houston Police Department-HPD,POLICE TRAINEE,,Male,Novice,0.8,42000.0
Houston Fire Department (HFD),INSPECTOR,Hispanic,Male,Veteran,22.3,70181.0
Houston Fire Department (HFD),CAPTAIN,White,Male,Veteran,19.9,70181.0
Houston Fire Department (HFD),CAPTAIN,Black,Male,Experienced,13.9,66523.0
Houston Fire Department (HFD),EXECUTIVE ASSISTANT FIRE CHIEF,Black,Male,Veteran,26.7,130585.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Black,Female,Veteran,27.2,66614.0
Houston Fire Department (HFD),INSPECTOR,Hispanic,Female,Veteran,15.7,66523.0
Houston Police Department-HPD,"POLICE OFFICER,PROBATIONARY",White,Male,Novice,1.5,28169.0
Public Works & Engineering-PWE,FIELD SUPERVISOR,Black,Male,Experienced,10.3,42182.0
Public Works & Engineering-PWE,UTILITY WORKER,Black,Male,Novice,1.0,29557.0
Houston Fire Department (HFD),FIRE FIGHTER,White,Male,Experienced,9.2,52644.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Black,Male,Veteran,18.3,66614.0
Public Works & Engineering-PWE,SENIOR BUYER,Black,Female,Veteran,31.3,48360.0
Houston Police Department-HPD,DEPUTY DIRECTOR (EXECUTIVE LEVEL),Asian,Male,Veteran,39.4,163228.0
Houston Airport System (HAS),MAINTENANCE MECHANIC III,Hispanic,Male,Novice,0.6,39125.0
Houston Fire Department (HFD),FIRE FIGHTER,Black,Male,Experienced,8.6,51194.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,31.2,
Houston Police Department-HPD,OFFICE SERVICE MANAGER,Black,Female,Experienced,8.8,58409.0
Houston Fire Department (HFD),CAPTAIN,White,Male,Experienced,13.2,66523.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Hispanic,Male,Veteran,37.8,
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,33.5,
Houston Fire Department (HFD),ENGINEER/OPERATOR,White,Male,Experienced,10.2,61921.0
Public Works & Engineering-PWE,ACCOUNTANT ASSOCIATE,Black,Female,Novice,2.9,37440.0
Houston Police Department-HPD,POLICE SERGEANT,White,Male,Veteran,31.9,
Houston Police Department-HPD,SENIOR POLICE OFFICER,Hispanic,Male,Veteran,24.3,66614.0
Houston Police Department-HPD,POLICE OFFICER,Hispanic,Male,Experienced,7.4,52514.0
Houston Airport System (HAS),IT PROJECT MANAGER,White,Male,Novice,4.0,96284.0
